,C10,SVEC,RAW
0,0.34824234,0.24194327,0.4098144
1,0.35559794,0.30092767,0.3434744
2,0.3252092,0.36811617,0.3066746
3,0.3625576,0.35010907,0.28733328
4,0.20723183,0.26224887,0.5305193
5,0.3349341,0.20582125,0.4592447
6,0.31175056,0.29184315,0.3964063
7,0.36178616,0.40041846,0.23779543
8,0.28937277,0.42395815,0.28666908
9,0.37888327,0.39677203,0.22434475
10,0.28067324,0.3962234,0.32310337
11,0.1855359,0.3601416,0.45432255
12,0.35016727,0.3332087,0.31662405
13,0.36556563,0.4473244,0.18710999
14,0.34421238,0.50689536,0.14889225
15,0.45291197,0.40773058,0.13935745
16,0.35695103,0.41403332,0.22901563
17,0.27451676,0.31267986,0.41280335
18,0.36287224,0.37406945,0.26305827
19,0.19634359,0.18928124,0.6143752
20,0.34913453,0.2863484,0.36451712
21,0.3238015,0.29630375,0.37989473
22,0.20486157,0.29025978,0.5048787
23,0.19942193,0.2242275,0.5763505
24,0.2780091,0.4538735,0.26811743
25,0.26822263,0.29965943,0.4321179
26,0.4186986,0.38557884,0.19572257
27,0.349987,0.44080576,0.20920728
28,0.3508392,0.38520417,0.26395667
29,0.2865737,0.3177546,0.39567167
30,0.36471292,0.18936625,0.44592077
31,0.41695744,0.39195207,0.19109052
32,0.30152622,0.18184118,0.51663256
33,0.29940397,0.34411225,0.3564838
34,0.33877364,0.33028817,0.3309382
35,0.4536525,0.32297534,0.22337225
36,0.38406444,0.23420632,0.38172922
37,0.28348386,0.2621036,0.45441264
38,0.23811166,0.3880868,0.3738015
39,0.2732612,0.26870158,0.45803726
40,0.31970578,0.416783,0.26351124
41,0.4412575,0.20643489,0.35230765
42,0.29259753,0.27089924,0.43650326
43,0.33947203,0.30688536,0.3536426
44,0.36939636,0.27637905,0.3542246
45,0.33447787,0.49218044,0.17334172
46,0.31478068,0.30930284,0.3759165
47,0.36611733,0.25182676,0.38205594
48,0.26390627,0.41418138,0.3219123
49,0.23878472,0.4129751,0.3482402
50,0.15665534,0.29652527,0.5468194
51,0.32827774,0.37756562,0.29415664
52,0.37453848,0.21811618,0.4073453
53,0.15987816,0.43651554,0.4036063
54,0.25857553,0.16257326,0.5788512
55,0.45847228,0.3802465,0.16128121
56,0.31570318,0.2511329,0.4331639
57,0.45126507,0.18907924,0.3596557
58,0.340647,0.35169747,0.3076555
59,0.42263398,0.41018224,0.16718383
60,0.28457144,0.50639415,0.20903443
61,0.39125088,0.17557561,0.43317354
62,0.43334964,0.20024943,0.36640093
63,0.4293113,0.24783993,0.32284874
64,0.20180319,0.33527362,0.46292314
65,0.25378397,0.33535153,0.41086444
66,0.35914877,0.25363678,0.38721445
67,0.19895323,0.4020182,0.3990286
68,0.3258888,0.31479943,0.35931173
69,0.23998798,0.4790466,0.28096545
70,0.33619303,0.35134295,0.31246406
71,0.27844313,0.31976303,0.4017939
72,0.30478486,0.3358889,0.35932618
73,0.31437838,0.33592525,0.34969634
74,0.3727967,0.29537287,0.33183038
75,0.2947199,0.351387,0.35389313
76,0.30717114,0.21462052,0.4782084
77,0.38283736,0.22141248,0.39575014
78,0.3163798,0.3657956,0.31782454
79,0.40175343,0.45617315,0.1420734
80,0.32572368,0.45733082,0.21694551
81,0.36556083,0.35312814,0.28131106
82,0.2626523,0.48426944,0.25307822
83,0.18025835,0.28589812,0.5338435
84,0.2799094,0.339395,0.38069564
85,0.31727508,0.30736655,0.3753584
86,0.36963865,0.3880323,0.24232908
87,0.3250736,0.24749285,0.42743358
88,0.3874023,0.16760135,0.44499633
89,0.35424906,0.21405353,0.43169734
90,0.33365333,0.2345101,0.4318366
91,0.35681242,0.51657766,0.12660994
92,0.34321168,0.37076423,0.28602406
93,0.2991504,0.2785565,0.4222931
94,0.20999177,0.5034744,0.2865338
95,0.28931394,0.31193638,0.39874968
96,0.375394,0.35219002,0.272416
97,0.29081017,0.32430857,0.38488126
98,0.3504675,0.22630176,0.42323077
99,0.39230505,0.35152984,0.25616518
100,0.3039219,0.23564266,0.46043545
101,0.27332807,0.3934973,0.33317465
102,0.2841854,0.3135129,0.40230176
103,0.27650335,0.3559246,0.36757207
104,0.30983034,0.5123808,0.17778887
105,0.22590037,0.33236665,0.441733
106,0.31904265,0.28713882,0.39381847
107,0.27097806,0.3110199,0.418002
108,0.44842446,0.2492754,0.30230013
109,0.45674616,0.27190426,0.27134964
110,0.33616492,0.39694226,0.26689285
